epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,478.781,3.12088,3.73373,3.72931,0.40464,0.31729,0.30804,0.11145,2.26801,2.43134,2.68539,0.00333268,0.00333268,0.00333268
2,944.209,2.19329,2.30371,2.51706,0.57421,0.57047,0.57682,0.28193,1.80366,1.70231,2.12772,0.00660001,0.00660001,0.00660001
3,1400.93,1.95048,1.98626,2.20432,0.74945,0.64624,0.72491,0.38566,1.66275,1.41538,1.94289,0.00980135,0.00980135,0.00980135
4,1859.04,1.84812,1.83121,2.07282,0.8196,0.71881,0.78335,0.4258,1.59345,1.26978,1.8557,0.009703,0.009703,0.009703
5,2310.53,1.75617,1.65186,1.98339,0.82565,0.78273,0.82895,0.46773,1.56068,1.12229,1.79103,0.009604,0.009604,0.009604
6,2755.68,1.7019,1.54345,1.92892,0.8475,0.82357,0.86739,0.50772,1.4602,1.01445,1.71264,0.009505,0.009505,0.009505
7,3204.39,1.66018,1.48495,1.88531,0.83373,0.81849,0.86475,0.51275,1.4435,0.95341,1.69708,0.009406,0.009406,0.009406
8,3664.01,1.62111,1.40834,1.85071,0.85031,0.84809,0.8832,0.53635,1.40157,0.91248,1.64034,0.009307,0.009307,0.009307
9,4120.28,1.59988,1.35225,1.82357,0.87328,0.85999,0.89212,0.54573,1.39575,0.88151,1.63043,0.009208,0.009208,0.009208
10,4577.31,1.58275,1.309,1.80954,0.86829,0.86295,0.9007,0.55848,1.37698,0.83351,1.61043,0.009109,0.009109,0.009109
11,5037.09,1.56327,1.28776,1.79224,0.87025,0.86518,0.90713,0.57479,1.31512,0.8059,1.56039,0.00901,0.00901,0.00901
12,5495.77,1.53535,1.24091,1.76641,0.877,0.8898,0.9168,0.58441,1.31504,0.77832,1.56583,0.008911,0.008911,0.008911
13,5948.18,1.52489,1.21678,1.75902,0.87265,0.8742,0.91636,0.58104,1.31136,0.75781,1.55964,0.008812,0.008812,0.008812
