fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01,0.00992,0.92442,0.00042,2.9576,0.83118,8.58499,0.58996,1.57085,0.01285,0.74197,0.31416,0.0,0.1,0.51442,0.0,0.0,0.0,0.53247,0.0,1.0,0.0,0.0
0.0,0.01148,0.01,0.9778,0.00057,3.0027,0.66741,7.5,0.5,1.64068,0.01621,0.78629,0.35162,0.0,0.11375,0.5,0.0,0.0,0.0,0.33756,0.0,0.92021,0.0,0.0
0.0,0.00981,0.01166,0.92442,0.00051,2.5732,0.81038,9.81154,0.58996,1.68209,0.01524,0.74197,0.342,0.0,0.11554,0.60268,0.0,0.0,0.0,0.54263,0.0,1.0,0.0,0.0
0.0,0.00981,0.00987,0.94964,0.00047,2.5732,0.62993,9.76746,0.58996,1.69305,0.01611,0.75041,0.342,0.0,0.09065,0.4316,0.0,0.0,0.0,0.52738,0.0,0.72388,0.0,0.0
0.0,0.01136,0.01094,0.9778,0.00062,2.55486,0.65077,8.75273,0.29046,1.2802,0.01826,0.77474,0.4615,0.0,0.10387,0.5,0.0,0.0,0.0,0.372,0.0,0.92021,0.0,0.0
0.0,0.01282,0.00973,0.98,0.00058,3.14934,0.66741,8.38928,0.52865,2.15339,0.01176,0.77591,0.31485,0.0,0.13888,0.4597,0.0,0.0,0.0,0.34096,0.0,0.6808,0.0,0.0
0.0,0.00965,0.01166,0.92388,0.00052,2.60348,0.87496,9.81154,0.58195,1.60659,0.01533,0.73009,0.36858,0.0,0.11895,0.60689,0.0,0.0,0.0,0.54263,0.0,1.0,0.0,0.0
0.0,0.00987,0.01146,0.92701,0.00051,2.55787,0.80065,9.77444,0.60001,1.6756,0.0152,0.7297,0.342,0.0,0.11782,0.60944,0.0,0.0,0.0,0.55265,0.0,0.99965,0.0,0.0
0.0,0.00978,0.00992,0.95855,0.00043,2.9576,0.82461,8.96448,0.52612,1.55402,0.01345,0.77732,0.3157,0.0,0.09362,0.50324,0.0,0.0,0.0,0.53247,0.0,1.0,0.0,0.0
