fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01099,0.01155,0.937,0.00053,3.27858,0.85578,7.66896,0.5249,1.74061,0.01511,0.56107,0.36168,0.0,0.1041,0.5222,0.0,0.0,0.0,0.54956,0.0,0.86648,0.0,0.0
0.0,0.00976,0.01023,0.93998,0.0005,3.06738,0.8,7.5,0.50879,1.55756,0.0147,0.7025,0.40721,0.0,0.10227,0.48514,0.0,0.0,0.0,0.50167,0.0,1.0,0.0,0.0
0.0,0.0118,0.01147,0.91633,0.00042,2.86442,0.7204,10.60001,0.5623,1.5,0.01719,0.8589,0.52266,0.0,0.08529,0.48009,0.0,0.0,0.0,0.55691,0.0,0.98947,0.0,0.0
0.0,0.0118,0.01086,0.92508,0.00056,3.22838,0.82591,7.58319,0.50037,1.89207,0.01484,0.56107,0.2913,0.0,0.10256,0.48121,0.0,0.0,0.0,0.58663,0.0,0.84585,0.0,0.0
0.0,0.01044,0.01038,0.91991,0.00055,3.66117,0.91378,7.51727,0.50822,1.77609,0.01415,0.55882,0.30324,0.0,0.09292,0.54377,0.0,0.0,0.0,0.56486,0.0,0.84585,0.0,0.0
0.0,0.01,0.01,0.937,0.00044,2.77201,0.8,7.36627,0.4813,1.49998,0.015,0.80464,0.36774,0.0,0.08559,0.49372,0.0,0.0,0.0,0.44667,0.0,1.0,0.0,0.0
0.0,0.01112,0.01084,0.94113,0.00048,2.86532,0.67193,6.99909,0.4682,1.74061,0.01511,0.55503,0.42092,0.0,0.08833,0.5222,0.0,0.0,0.0,0.54956,0.0,0.86648,0.0,0.0
0.0,0.01143,0.01001,0.93566,0.00055,2.80503,0.8,7.5,0.53597,1.49243,0.01446,0.75595,0.4,0.0,0.09237,0.52519,0.0,0.0,0.0,0.31779,0.0,0.9263,0.0,0.0
0.0,0.01,0.01,0.94004,0.00058,2.91067,0.78412,8.66098,0.49469,1.5062,0.01605,0.6677,0.31159,0.0,0.08534,0.44755,0.0,0.0,0.0,0.35923,0.0,0.79949,0.0,0.0
